닉네임_ID,순위,grp,예측수,TSLA_예측,NVDA_예측,적중률,TSLA_적중률,NVDA_적중률,평균실현변동,실력점수
0c75e17bc0f279df,1,대조군,17,2.0,15.0,47.0,0.0,53.0,3.9,1.72
6fbb50809f0f9f18,2,고수후보,12,5.0,7.0,50.0,40.0,57.0,4.3,1.62
fd63412dbcdec05d,3,대조군,17,13.0,4.0,29.0,38.0,0.0,3.3,1.56
e5cfd922020f6bc3,4,대조군,6,0.0,6.0,50.0,,50.0,5.8,1.31
c009fbb778c0e8e4,5,대조군,37,26.0,11.0,11.0,15.0,0.0,1.7,1.14
33f2a077c055aa80,6,고수후보,201,201.0,0.0,11.0,11.0,,1.1,1.13
77710d12d5f9f59b,7,고수후보,74,0.0,74.0,35.0,,35.0,1.4,0.96
7d95a21f3a565126,8,대조군,41,26.0,15.0,15.0,8.0,27.0,1.3,0.9
efae43b1586ae54f,9,고수후보,15,0.0,15.0,13.0,,13.0,2.2,0.87
156d3fa10c395e1b,10,고수후보,15,15.0,0.0,13.0,13.0,,1.8,0.87
5640f64efbae52ad,11,대조군,28,23.0,5.0,25.0,17.0,60.0,1.2,0.74
10648773f83aba08,12,대조군,6,6.0,0.0,50.0,50.0,,3.0,0.74
18e61ab90842de84,13,고수후보,49,48.0,1.0,12.0,12.0,0.0,0.9,0.73
933d62f60bfa5762,14,고수후보,30,23.0,7.0,10.0,13.0,0.0,1.1,0.72
866fafaa483accb0,15,대조군,11,10.0,1.0,45.0,40.0,100.0,1.8,0.7
418ec14caaa83573,16,대조군,5,4.0,1.0,20.0,25.0,0.0,3.1,0.64
de139112e423c8a3,17,고수후보,23,0.0,23.0,52.0,,52.0,1.3,0.59
986a851322afb8d9,18,고수후보,53,53.0,0.0,2.0,2.0,,0.6,0.58
0d7384a774c03dc2,19,대조군,12,7.0,5.0,17.0,29.0,0.0,1.5,0.58
b5f8e3f2e9a4146e,20,고수후보,14,14.0,0.0,21.0,21.0,,1.2,0.56
8ee14b1c1e22a8e9,21,고수후보,18,18.0,0.0,28.0,28.0,,0.9,0.53
849b0354a5bae05b,22,대조군,14,14.0,0.0,7.0,7.0,,1.1,0.51
7f8685be60395013,23,대조군,17,17.0,0.0,6.0,6.0,,0.9,0.5
d970cf9a419e35a9,24,고수후보,18,18.0,0.0,17.0,17.0,,0.8,0.47
5d8c4eccdb828885,25,대조군,9,9.0,0.0,22.0,22.0,,1.3,0.47
048d921fba744422,26,고수후보,14,2.0,12.0,14.0,0.0,17.0,1.2,0.43
f288f0eed35fd360,27,대조군,27,0.0,27.0,11.0,,11.0,0.9,0.41
d21451a7650126f8,28,고수후보,145,145.0,0.0,15.0,15.0,,0.3,0.4
102c9210e6c820e9,29,고수후보,10,9.0,1.0,10.0,11.0,0.0,1.0,0.4
b4556bc331ed0335,30,고수후보,50,48.0,2.0,8.0,8.0,0.0,0.4,0.4
0d168ea1a6ab7834,31,대조군,67,67.0,0.0,7.0,7.0,,0.3,0.4
6d1d9ae10553f6ec,32,고수후보,22,16.0,6.0,41.0,56.0,0.0,0.7,0.39
abb0d2d6451fdd5e,33,고수후보,22,0.0,22.0,18.0,,18.0,0.9,0.38
b72e93232a6bd5d4,34,고수후보,9,9.0,0.0,0.0,0.0,,1.0,0.38
07c195566b83a467,35,대조군,5,0.0,5.0,40.0,,40.0,2.0,0.37
2f1dac64bdd19dcf,36,고수후보,17,17.0,0.0,24.0,24.0,,0.6,0.37
e7eef48b03841d38,37,대조군,25,25.0,0.0,4.0,4.0,,0.5,0.37
db13409e5bb51810,38,대조군,8,7.0,1.0,0.0,0.0,0.0,1.1,0.35
03911c01e770d256,39,대조군,13,11.0,2.0,8.0,9.0,0.0,0.8,0.35
59ba704d5c725688,40,대조군,18,14.0,4.0,11.0,0.0,50.0,0.6,0.34
bfc976e154f28033,41,대조군,8,5.0,3.0,25.0,20.0,33.0,1.1,0.33
a9f6c76461328ef3,42,고수후보,195,195.0,0.0,8.0,8.0,,0.2,0.33
d86a3ca4b8ad732c,43,대조군,7,4.0,3.0,14.0,25.0,0.0,1.2,0.33
2fb503150c0ea498,44,고수후보,41,5.0,36.0,12.0,0.0,14.0,0.6,0.32
e45ef2bcda61f46c,45,대조군,118,118.0,0.0,5.0,5.0,,0.2,0.32
8f301d1e556c8e27,46,고수후보,43,0.0,43.0,21.0,,21.0,0.6,0.32
83a2bfad5cca92cf,47,대조군,16,16.0,0.0,6.0,6.0,,0.5,0.31
582a838b94f57c02,48,고수후보,9,7.0,2.0,11.0,14.0,0.0,0.8,0.28
810e5000e70c1840,49,대조군,29,25.0,4.0,0.0,0.0,0.0,0.3,0.26
d31f365c535bf978,50,대조군,73,69.0,4.0,4.0,4.0,0.0,0.2,0.25
64508e3bd62cabdb,51,대조군,10,10.0,0.0,0.0,0.0,,0.5,0.23
a54f5567b67a8f72,52,대조군,65,58.0,7.0,11.0,12.0,0.0,0.1,0.21
73490738af914f2b,53,고수후보,36,0.0,36.0,19.0,,19.0,0.5,0.2
01b49de6b0b51820,54,대조군,15,15.0,0.0,13.0,13.0,,0.2,0.17
567bb1b048566562,55,대조군,13,13.0,0.0,8.0,8.0,,0.2,0.14
8aa5c92ee3b1d8c9,56,고수후보,7,4.0,3.0,29.0,25.0,33.0,0.5,0.13
8e436d43b5f64dd6,57,대조군,5,1.0,4.0,20.0,0.0,25.0,0.6,0.11
1adbae74bd5e2158,58,고수후보,47,47.0,0.0,9.0,9.0,,-0.0,0.1
2261ddc69766c54d,59,대조군,9,9.0,0.0,11.0,11.0,,0.1,0.1
974a1c91f29d6f29,60,대조군,8,8.0,0.0,12.0,12.0,,0.2,0.1
2a1f8a5823a2cd9e,61,고수후보,84,18.0,66.0,7.0,0.0,9.0,0.2,0.08
40f3fa19835bd04d,62,고수후보,8,6.0,2.0,0.0,0.0,0.0,0.0,0.04
23c12c492942ce67,63,고수후보,61,54.0,7.0,7.0,7.0,0.0,-0.1,0.03
05c0d011cb43910b,64,대조군,22,0.0,22.0,18.0,,18.0,0.2,0.03
75527a897557fd14,65,대조군,5,5.0,0.0,20.0,20.0,,-0.0,0.03
31abb2018740d1c7,66,대조군,8,8.0,0.0,0.0,0.0,,-0.1,0.02
8be3a02f2332b45c,67,대조군,5,3.0,2.0,0.0,0.0,0.0,0.1,0.02
3334a22f861533b8,68,대조군,6,6.0,0.0,0.0,0.0,,-0.1,0.02
7a99b0ee6c0cf44e,69,대조군,11,11.0,0.0,9.0,9.0,,-0.2,0.01
42ecc1f0276dc19b,70,고수후보,5,5.0,0.0,0.0,0.0,,-0.1,0.01
675a1902df58eadc,71,고수후보,15,15.0,0.0,27.0,27.0,,-0.2,0.0
f5cee74bb02df036,72,고수후보,17,17.0,0.0,6.0,6.0,,-0.2,-0.0
b046c26559a50e79,73,고수후보,59,59.0,0.0,7.0,7.0,,-0.2,-0.0
6ab42e43f16cea16,74,고수후보,27,5.0,22.0,19.0,40.0,14.0,0.1,-0.01
4cd5f354f135bd09,75,고수후보,27,4.0,23.0,22.0,0.0,26.0,0.1,-0.01
b227b4e25d0c8d3b,76,고수후보,17,0.0,17.0,29.0,,29.0,0.1,-0.01
